"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"addusto","XAL Esports","Top",5,"40%",,22,17,28,2.9,"49.5%","21.8%","17.0%","0%",52,314,-0.4,8.2,"28.6%",659,"29.5%","29.6%",290,"24.6%",0,0.31,0.11,0.11
"Antwere","UniQ Esports Club","Jungle",6,"17%",,7,28,36,1.5,"58.1%","9.5%","20.9%","17%",-833,-604,-7.7,4.7,"12.1%",297,"14.8%","15.4%",162,"15.7%",0,0.16,0.18,0.26
"Apollonia","Vanir","Middle",4,"0%",,0,16,4,0.3,"16.0%","0.0%","17.4%","0%",-627,-368,-9.5,6.8,"23.7%",383,"23.8%","23.1%",145,"18.4%",0,0.32,0.14,0.03
"Backlund","Dusty","Middle",6,"100%",,26,16,39,4.1,"42.2%","16.9%","20.5%","0%",556,387,14.8,9,"26.1%",592,"20.1%","17.6%",331,"21.4%",0,0.36,0.11,0.27
"Bobas","unknown team","Jungle",6,"33%",,14,13,25,3,"56.5%","20.3%","13.5%","50%",143,-114,-1.3,6.8,"24.4%",346,"16.7%","16.7%",232,"21.6%",0,0.43,0.16,0.52
"Carlsen","Astralis Talent","Top",6,"83%",,31,7,52,11.9,"54.6%","20.4%","10.1%","33%",347,264,4.3,7.9,"27.7%",517,"20.2%","18.6%",298,"22.3%",0,0.3,0.11,0.13
"Cast","Blade Edge","Jungle",4,"50%",,14,17,39,3.1,"62.4%","16.5%","20.2%","75%",31,-129,-9,6.1,"21.0%",537,"18.2%","18.0%",234,"18.9%",1,0.31,0.11,0.29
"Cast","unknown team","Jungle",2,"0%",,12,8,16,3.5,"51.9%","22.2%","22.2%","0%",-1640,-656,-15,4.5,"14.5%",358,"11.9%","12.1%",189,"16.8%",0,0.39,0.14,0.44
"Certified Random","KAOS e-sport","ADC",3,"67%",,18,9,17,3.9,"70.0%","36.0%","20.0%","0%",735,543,18,8.7,"29.1%",814,"30.2%","32.7%",335,"27.5%",0,0.36,0.09,0.16
"Champen","Viperio","Top",6,"33%",,24,26,22,1.8,"53.5%","27.9%","22.6%","33%",79,-43,7.2,9.2,"30.9%",534,"28.0%","26.3%",309,"28.1%",0,0.28,0.02,0.09
"Chemera","MNM Gaming","Middle",6,"33%",,23,27,46,2.6,"69.0%","23.0%","22.0%","17%",230,184,6,7.5,"25.3%",652,"27.4%","27.1%",251,"22.4%",0,0.4,0.13,0.06
"Chrisberg","Astralis Talent","ADC",6,"83%",,52,20,51,5.2,"67.8%","34.2%","29.0%","67%",-150,49,-2.8,8.7,"34.4%",773,"28.7%","32.0%",371,"27.2%",0,0.23,0.01,0.13
"Cl0x","Nativz","Support",5,"100%",,6,18,58,3.6,"56.6%","5.3%","43.9%","60%",-15,107,7,1.2,"3.2%",241,"8.5%","8.2%",148,"9.6%",0,0.87,0.2,0.29
"Crambit","Vanir","Jungle",3,"0%",,8,11,7,1.4,"78.9%","42.1%","16.7%","33%",-555,-53,5.3,5.8,"19.1%",340,"20.1%","19.2%",192,"23.9%",0,0.14,0.14,0.08
"Crambit","Vanir","Top",1,"0%",,5,8,1,0.8,"100.0%","83.3%","30.8%","0%",-284,-1196,-20,4.1,"9.5%",366,"21.8%","27.9%",177,"21.9%",0,0.13,0.13,0.3
"Cronan","Ruddy Esports","Middle",1,"100%",,8,6,5,2.2,"44.8%","27.6%","37.5%","0%",-1253,-189,2,7.4,"23.8%",708,"23.6%","27.1%",290,"19.8%",0,0.38,0.03,0.14
"Cronan","unknown team","Middle",5,"40%",,24,21,26,2.4,"53.2%","25.5%","20.8%","20%",85,-109,-8.6,6.2,"19.3%",529,"22.1%","19.8%",231,"19.5%",0,0.3,0.13,0.14
"Curl","RATE Gaming","Top",3,"67%",,15,4,11,6.5,"53.1%","30.6%","11.4%","33%",-373,-410,-12.7,7.1,"19.9%",475,"21.0%","19.5%",268,"21.9%",0,0.36,0.09,0.22
"D4rkzelda","Vanir","Top",1,"0%",,4,4,2,1.5,"85.7%","57.1%","19.0%","0%",-2225,-2113,-55,4,"20.9%",472,"29.9%","34.1%",188,"24.8%",0,0.25,0.05,0
"Dan","JD|XL","Jungle",7,"100%",,32,10,74,10.6,"60.6%","18.3%","12.8%","57%",206,-68,0.4,5.7,"15.9%",472,"15.5%","16.2%",272,"17.8%",0,0.42,0.22,0.35
"DBL","Lucent Esports","Top",6,"0%",,11,29,17,1,"41.2%","16.2%","19.9%","17%",-454,-639,-16,6.9,"22.1%",612,"27.4%","26.2%",215,"20.4%",0,0.38,0.1,0.1
"DenVoksne","Dusty","ADC",6,"100%",,54,7,47,14.4,"65.6%","35.1%","9.0%","50%",692,593,23.5,9.9,"30.2%",941,"31.2%","36.0%",432,"28.1%",0,0.23,0.02,0.26
"Denzel","XAL Esports","Middle",5,"40%",,27,16,27,3.4,"53.5%","26.7%","16.0%","0%",174,-1,-5.4,6.9,"21.8%",512,"21.4%","20.2%",252,"21.6%",0,0.25,0.17,0.21
"Eden Fox","UniQ Esports Club","Middle",6,"17%",,15,33,18,1,"44.6%","20.3%","24.6%","17%",-52,-159,-4.2,7.4,"23.8%",475,"24.1%","24.8%",229,"22.1%",0,0.28,0.12,0.13
"Eleison","RATE Gaming","Top",3,"67%",,4,6,22,4.3,"54.2%","8.3%","18.2%","33%",-762,-412,-1.3,7.2,"23.6%",402,"20.7%","22.7%",226,"19.2%",0,0.44,0.19,0.17
"Elijah","unknown team","Top",6,"33%",,18,21,20,1.8,"55.1%","26.1%","21.9%","17%",287,197,-0.7,7.5,"25.7%",505,"26.5%","21.2%",256,"24.2%",0,0.35,0.11,0.2
"Energy","NYYRIKKI","Middle",6,"83%",,35,9,46,9,"75.0%","32.4%","15.5%","0%",314,-67,3.3,8,"25.0%",642,"31.2%","30.5%",284,"23.2%",0,0.34,0.18,0.17
"Ermin","Viperio","Support",6,"33%",,3,25,48,2,"59.3%","3.5%","21.7%","50%",98,-32,-5.3,0.7,"1.7%",161,"9.2%","9.2%",84,"7.7%",0,1.23,0.15,0.17
"Erolle","RATE Gaming","Middle",6,"67%",,24,12,36,5,"61.9%","24.7%","17.6%","17%",327,123,3.5,8.4,"25.8%",517,"24.5%","23.4%",286,"23.7%",0,0.33,0.08,0.11
"Eski","KAOS e-sport","Support",6,"67%",,11,11,67,7.1,"69.0%","9.7%","10.4%","0%",172,334,-13,1.1,"3.8%",301,"10.4%","9.1%",136,"11.0%",0,1.46,0.2,0.47
"espen5b","Vanir","Jungle",1,"0%",,0,5,3,0.6,"50.0%","0.0%","19.2%","0%",-547,1264,6,6.3,"29.4%",275,"16.3%","7.0%",153,"19.0%",0,0.47,0.17,0.08
"espen5b","Vanir","Top",2,"0%",,2,12,3,0.4,"41.7%","16.7%","26.7%","0%",-664,-256,-17,6,"21.3%",344,"20.8%","20.1%",142,"17.6%",0,0.39,0.19,0.12
"Facen","Riddle Esports","Middle",6,"100%",,33,10,55,8.8,"66.7%","25.0%","16.7%","33%",-48,201,-5.2,8.1,"23.3%",729,"28.0%","29.0%",301,"22.5%",1,0.45,0.12,0.21
"Faetski","NYYRIKKI","ADC",6,"83%",,28,17,44,4.2,"66.7%","25.9%","29.3%","0%",65,517,5.8,8.7,"30.8%",555,"25.9%","27.0%",337,"27.5%",0,0.35,0.1,0.29
"Faith","Bifrost","Jungle",3,"100%",,20,9,44,7.1,"78.0%","24.4%","22.5%","100%",391,-250,-12.7,6.4,"19.5%",639,"22.0%","22.1%",330,"22.5%",2,0.54,0.21,0.44
"Fall","AaB Esport","Jungle",2,"0%",,4,7,11,2.1,"68.2%","18.2%","15.6%","0%",-932,-741,-22,4.5,"13.9%",261,"12.5%","13.6%",165,"17.4%",0,0.19,0.16,0.42
"FGG","JD|XL","Support",7,"100%",,19,25,97,4.6,"66.3%","10.9%","32.1%","57%",654,153,-9.6,0.7,"1.9%",401,"13.1%","11.0%",164,"11.1%",0,0.91,0.24,0.21
"Fine4Ever","XAL Esports","Support",5,"40%",,4,28,66,2.5,"69.3%","4.0%","28.0%","40%",-86,-194,3.8,1.1,"2.7%",181,"7.6%","7.2%",115,"9.7%",0,1.2,0.36,0.22
"Flawed","Verdant","Jungle",6,"50%",,36,24,50,3.6,"74.1%","31.0%","15.9%","33%",591,333,4.5,6.3,"20.9%",620,"22.9%","23.6%",279,"23.2%",2,0.51,0.17,0.55
"Flawless","Lucent Esports","Jungle",6,"0%",,14,32,33,1.5,"69.1%","20.6%","21.9%","0%",-34,226,7,5.9,"22.2%",304,"14.4%","13.8%",207,"21.9%",1,0.39,0.3,0.19
"Floopz","unknown team","ADC",6,"17%",,31,25,30,2.4,"76.3%","38.8%","15.8%","33%",193,58,7,8.6,"33.6%",757,"32.9%","34.7%",305,"29.0%",0,0.26,0.01,0.15
"Fred","Guarp Gaming","Support",6,"33%",,6,27,60,2.4,"76.7%","7.0%","18.8%","33%",-248,-202,-3.7,0.6,"2.7%",270,"12.3%","11.3%",116,"11.2%",0,0.94,0.13,0.24
"Furuy","Bifrost","Middle",6,"100%",,44,11,52,8.7,"58.5%","26.8%","15.5%","33%",431,317,-0.8,7.5,"23.5%",774,"25.4%","28.6%",321,"22.3%",0,0.43,0.17,0.14
"Ginrais","AaB Esport","Middle",6,"0%",,17,18,18,1.9,"59.3%","28.8%","13.4%","0%",-246,-222,-2.8,8,"28.6%",552,"29.3%","29.9%",246,"25.7%",0,0.36,0.11,0.13
